394_NGR_c24630	activation	394_NGR_c18610	0.19200003
882_DVU0018	activation	882_DVU0056	0.6960001
882_DVU0056	activation	882_DVU0608	0.6960001
882_DVU0056	activation	882_DVU0592	0.35899997
882_DVU0645	activation	882_DVU2073	0.35899997
882_DVU0056	activation	882_DVU0945	0.35800004
882_DVU0645	activation	882_DVU1427	0.35899997
882_DVU0056	activation	882_DVU0668	0.679
882_DVU0056	activation	882_DVU1083	0.20200002
882_DVU0056	activation	882_DVU0992	0.66400003
882_DVU0056	activation	882_DVU1400	0.6960001
882_DVU0018	activation	882_DVU0592	0.464
882_DVU0018	activation	882_DVU1594	0.459
882_DVU0056	activation	882_DVU1169	0.54999995
882_DVU0013	activation	882_DVU0129	0.12399995
883_DvMF_0101	activation	883_DvMF_2509	0.09200001
883_DvMF_0101	activation	883_DvMF_0088	0.347
883_DvMF_1448	activation	883_DvMF_0087	0.6960001
883_DvMF_0101	activation	883_DvMF_0982	0.553
883_DvMF_0101	activation	883_DvMF_1379	0.84000003
883_DvMF_0101	activation	883_DvMF_3103	0.84000003
883_DvMF_0101	activation	883_DvMF_1351	0.556
883_DvMF_3103	activation	883_DvMF_0101	0.84000003
882_DVU0496	activation	882_DVU0002	0.5439999
883_DvMF_1351	activation	883_DvMF_1448	0.44000006
883_DvMF_1351	activation	883_DvMF_0101	0.556
883_DvMF_0982	activation	883_DvMF_1448	0.612
883_DvMF_1379	activation	883_DvMF_0101	0.84000003
883_DvMF_1448	activation	883_DvMF_0982	0.612
883_DvMF_1448	activation	883_DvMF_1379	0.8410001
883_DvMF_1448	activation	883_DvMF_1442	0.48000002
883_DvMF_1448	activation	883_DvMF_3103	0.8410001
883_DvMF_1442	activation	883_DvMF_1448	0.48000002
394_NGR_c17310	activation	394_NGR_c35180	0.69200003
394_NGR_c17060	activation	394_NGR_c35180	0.69200003
394_NGR_c01850	activation	394_NGR_c35180	0.69200003
394_NGR_c12970	activation	394_NGR_c12960	0.19799995
394_NGR_c01430	activation	394_NGR_c01490	0.676
394_NGR_c02560	activation	394_NGR_c00530	0.21300006
394_NGR_c02560	activation	394_NGR_c06650	0.17700005
394_NGR_c02560	activation	394_NGR_c03230	0.17700005
394_NGR_c12960	activation	394_NGR_c12970	0.19799995
394_NGR_c02560	activation	394_NGR_c17460	0.21300006
394_NGR_c10800	activation	394_NGR_c35180	0.69200003
394_NGR_c01430	activation	394_NGR_c35180	0.69200003
394_NGR_c02560	activation	394_NGR_c35170	0.14499998
394_NGR_c33900	activation	394_NGR_c33890	0.645
394_NGR_c33890	activation	394_NGR_c33900	0.645
883_DvMF_1426	activation	883_DvMF_1736	0.08399999
882_DVU1884	activation	882_DVU1596	0.416
882_DVU1884	activation	882_DVU1961	0.551
882_DVU1884	activation	882_DVU1904	0.551
882_DVU1884	activation	882_DVU2078	0.416
882_DVU1884	activation	882_DVU2072	0.5910001
882_DVU1596	activation	882_DVU1884	0.416
882_DVU1961	activation	882_DVU1594	0.531
882_DVU1961	activation	882_DVU0668	0.464
882_DVU1961	activation	882_DVU0992	0.35899997
882_DVU1961	activation	882_DVU1593	0.35899997
882_DVU1961	activation	882_DVU1400	0.464
882_DVU1961	activation	882_DVU0652	0.35899997
882_DVU1961	activation	882_DVU1169	0.14899993
882_DVU1961	activation	882_DVU1427	0.35899997
882_DVU1904	activation	882_DVU0668	0.464
882_DVU1904	activation	882_DVU1593	0.35899997
882_DVU1904	activation	882_DVU1400	0.464
882_DVU1961	activation	882_DVU0645	0.464
882_DVU1961	activation	882_DVU0056	0.35899997
882_DVU1961	activation	882_DVU0018	0.464
882_DVU1904	activation	882_DVU1169	0.14899993
882_DVU1904	activation	882_DVU2073	0.35899997
882_DVU1904	activation	882_DVU1427	0.35899997
882_DVU1961	activation	882_DVU0591	0.464
882_DVU1961	activation	882_DVU0449	0.54999995
882_DVU1596	activation	882_DVU2073	0.14599991
882_DVU1857	activation	882_DVU0056	0.6960001
882_DVU1884	activation	882_DVU0652	0.962
882_DVU1884	activation	882_DVU0992	0.15499997
882_DVU1596	activation	882_DVU1594	0.49600005
882_DVU1596	activation	882_DVU0992	0.27199996
882_DVU1596	activation	882_DVU0652	0.27199996
882_DVU1857	activation	882_DVU1427	0.35899997
882_DVU1962	activation	882_DVU0992	0.6960001
882_DVU1962	activation	882_DVU1593	0.35899997
882_DVU1904	activation	882_DVU0591	0.464
882_DVU1962	activation	882_DVU2073	0.35899997
882_DVU1904	activation	882_DVU0449	0.54999995
882_DVU1857	activation	882_DVU1594	0.459
882_DVU1962	activation	882_DVU0056	0.6960001
882_DVU1857	activation	882_DVU0652	0.6960001
882_DVU1962	activation	882_DVU0449	0.49399996
882_DVU1962	activation	882_DVU1594	0.459
882_DVU1962	activation	882_DVU0592	0.464
882_DVU1884	activation	882_DVU0056	0.15499997
882_DVU1884	activation	882_DVU0129	0.29400003
882_DVU1884	activation	882_DVU0449	0.574
882_DVU1596	activation	882_DVU0056	0.27199996
882_DVU1884	activation	882_DVU1594	0.5910001
882_DVU1884	activation	882_DVU3068	0.16400003
882_DVU1884	activation	882_DVU3180	0.16400003
882_DVU1884	activation	882_DVU3062	0.16400003
882_DVU1884	activation	882_DVU2079	0.16400003
882_DVU1884	activation	882_DVU2679	0.16400003
882_DVU1884	activation	882_DVU2129	0.16400003
882_DVU1884	activation	882_DVU2967	0.16400003
882_DVU1884	activation	882_DVU2432	0.16400003
882_DVU2295	activation	882_DVU0992	0.4690001
882_DVU2585	activation	882_DVU0449	0.49399996
882_DVU1961	activation	882_DVU1960	0.485
882_DVU2078	activation	882_DVU2073	0.14599991
882_DVU2585	activation	882_DVU1594	0.459
882_DVU2577	activation	882_DVU0056	0.25
882_DVU2585	activation	882_DVU0592	0.464
882_DVU2585	activation	882_DVU0652	0.69499993
882_DVU2585	activation	882_DVU0992	0.6960001
882_DVU2585	activation	882_DVU1593	0.35899997
882_DVU2295	activation	882_DVU0056	0.4690001
882_DVU2078	activation	882_DVU1594	0.15400004
882_DVU2309	activation	882_DVU1427	0.35899997
882_DVU2309	activation	882_DVU2073	0.35899997
882_DVU2078	activation	882_DVU0992	0.27199996
882_DVU2295	activation	882_DVU1594	0.089999914
882_DVU2078	activation	882_DVU1593	0.14599991
882_DVU2295	activation	882_DVU0449	0.19700003
882_DVU2317	activation	882_DVU2073	0.35899997
882_DVU2317	activation	882_DVU1427	0.35899997
882_DVU2585	activation	882_DVU1427	0.35899997
882_DVU2577	activation	882_DVU0992	0.25
882_DVU2577	activation	882_DVU0652	0.25
882_DVU2585	activation	882_DVU2073	0.35899997
882_DVU2317	activation	882_DVU0592	0.464
882_DVU2317	activation	882_DVU0449	0.49399996
882_DVU2317	activation	882_DVU0652	0.679
882_DVU2317	activation	882_DVU1593	0.35899997
882_DVU2317	activation	882_DVU0992	0.6960001
882_DVU1961	activation	882_DVU2295	0.095999956
882_DVU1961	activation	882_DVU2317	0.464
882_DVU1961	activation	882_DVU1975	0.464
882_DVU1961	activation	882_DVU2309	0.464
882_DVU2072	activation	882_DVU0018	0.459
882_DVU2072	activation	882_DVU0056	0.4849999
882_DVU2072	activation	882_DVU0183	0.459
882_DVU2072	activation	882_DVU0138	0.14199996
882_DVU2072	activation	882_DVU0591	0.459
882_DVU1962	activation	882_DVU1595	0.35899997
882_DVU1961	activation	882_DVU2738	0.45299995
882_DVU1961	activation	882_DVU2933	0.047999978
882_DVU2072	activation	882_DVU0592	0.531
882_DVU1975	activation	882_DVU0056	0.6960001
882_DVU1961	activation	882_DVU3035	0.464
882_DVU1904	activation	882_DVU2738	0.45299995
882_DVU1596	activation	882_DVU1960	0.49099994
882_DVU1961	activation	882_DVU1857	0.464
882_DVU1961	activation	882_DVU1884	0.551
882_DVU1961	activation	882_DVU2072	0.531
882_DVU1904	activation	882_DVU3228	0.35899997
882_DVU1975	activation	882_DVU1427	0.35899997
882_DVU2309	activation	882_DVU0449	0.49399996
882_DVU1975	activation	882_DVU2073	0.35899997
882_DVU2309	activation	882_DVU1594	0.459
882_DVU2078	activation	882_DVU0056	0.27199996
882_DVU2309	activation	882_DVU0652	0.6960001
882_DVU1904	activation	882_DVU1960	0.485
882_DVU2078	activation	882_DVU0449	0.416
882_DVU2309	activation	882_DVU0992	0.6960001
882_DVU1961	activation	882_DVU3228	0.35899997
882_DVU2072	activation	882_DVU0668	0.444
882_DVU2072	activation	882_DVU0652	0.4849999
882_DVU1857	activation	882_DVU1960	0.43799996
882_DVU1961	activation	882_DVU3155	0.14899993
882_DVU2072	activation	882_DVU1593	0.13899994
882_DVU2072	activation	882_DVU1400	0.459
882_DVU1975	activation	882_DVU0449	0.49399996
882_DVU1975	activation	882_DVU0592	0.464
882_DVU2072	activation	882_DVU1169	0.19199991
882_DVU2072	activation	882_DVU2073	0.13899994
882_DVU2072	activation	882_DVU1427	0.48099995
882_DVU1975	activation	882_DVU0652	0.679
882_DVU1975	activation	882_DVU0992	0.6960001
882_DVU1975	activation	882_DVU1593	0.35899997
882_DVU1596	activation	882_DVU3228	0.15899992
882_DVU1857	activation	882_DVU1904	0.464
882_DVU1857	activation	882_DVU1961	0.464
882_DVU1884	activation	882_DVU2933	0.612
882_DVU1596	activation	882_DVU2072	0.15400004
882_DVU1884	activation	882_DVU3228	0.76
882_DVU1884	activation	882_DVU0408	0.16400003
882_DVU1857	activation	882_DVU3228	0.35899997
882_DVU1884	activation	882_DVU1190	0.16400003
882_DVU1904	activation	882_DVU1884	0.551
882_DVU1884	activation	882_DVU0422	0.16400003
882_DVU1884	activation	882_DVU0622	0.16400003
882_DVU1596	activation	882_DVU1595	0.13
882_DVU1904	activation	882_DVU1857	0.464
882_DVU1904	activation	882_DVU1962	0.464
882_DVU1884	activation	882_DVU1563	0.16400003
882_DVU1884	activation	882_DVU2067	0.16400003
882_DVU1904	activation	882_DVU2072	0.531
882_DVU1962	activation	882_DVU3228	0.35899997
882_DVU1884	activation	882_DVU1805	0.16400003
882_DVU1904	activation	882_DVU2317	0.464
882_DVU1904	activation	882_DVU2309	0.464
882_DVU1857	activation	882_DVU2072	0.459
882_DVU1962	activation	882_DVU1961	0.464
882_DVU1884	activation	882_DVU0721	0.16400003
882_DVU1884	activation	882_DVU1595	0.505
882_DVU1962	activation	882_DVU2072	0.459
882_DVU1884	activation	882_DVU0271	0.16400003
882_DVU1884	activation	882_DVU0092	0.16400003
882_DVU3182	activation	882_DVU0652	0.679
882_DVU3182	activation	882_DVU1593	0.35899997
882_DVU3182	activation	882_DVU2073	0.35899997
882_DVU2972	activation	882_DVU0992	0.29699993
882_DVU2972	activation	882_DVU0652	0.29699993
882_DVU3182	activation	882_DVU0592	0.464
882_DVU3182	activation	882_DVU0449	0.49399996
882_DVU2585	activation	882_DVU1960	0.43799996
882_DVU2577	activation	882_DVU0622	0.011999965
882_DVU2738	activation	882_DVU0652	0.6960001
882_DVU2738	activation	882_DVU1593	0.35899997
882_DVU2675	activation	882_DVU0056	0.25
882_DVU2577	activation	882_DVU1563	0.011999965
882_DVU2738	activation	882_DVU2073	0.35899997
882_DVU2933	activation	882_DVU0013	0.08800006
882_DVU2585	activation	882_DVU1595	0.23799992
882_DVU2078	activation	882_DVU1960	0.1400001
882_DVU2738	activation	882_DVU0056	0.6960001
882_DVU2738	activation	882_DVU0592	0.45299995
882_DVU2588	activation	882_DVU2587	0.10599995
882_DVU2972	activation	882_DVU0056	0.29699993
882_DVU2588	activation	882_DVU1431	0.095999956
882_DVU2675	activation	882_DVU0652	0.25
882_DVU2317	activation	882_DVU1960	0.43799996
882_DVU2933	activation	882_DVU0449	0.23600006
882_DVU2933	activation	882_DVU0592	0.047999978
882_DVU2933	activation	882_DVU1594	0.13800001
882_DVU2933	activation	882_DVU0945	0.23600006
882_DVU2933	activation	882_DVU0992	0.06799996
882_DVU2078	activation	882_DVU3228	0.15899992
882_DVU1975	activation	882_DVU1595	0.42700005
882_DVU2585	activation	882_DVU2072	0.459
882_DVU2317	activation	882_DVU1961	0.464
882_DVU2078	activation	882_DVU2072	0.49600005
882_DVU2309	activation	882_DVU3228	0.35899997
882_DVU2072	activation	882_DVU1595	0.17799997
882_DVU2585	activation	882_DVU1961	0.464
882_DVU2585	activation	882_DVU1904	0.464
882_DVU2309	activation	882_DVU1960	0.43799996
882_DVU2317	activation	882_DVU3228	0.35899997
882_DVU2585	activation	882_DVU3228	0.35899997
882_DVU2309	activation	882_DVU1595	0.23799992
882_DVU1962	activation	882_DVU2074	0.464
882_DVU2072	activation	882_DVU1596	0.49600005
882_DVU2072	activation	882_DVU1904	0.531
882_DVU2072	activation	882_DVU1961	0.531
882_DVU2072	activation	882_DVU1857	0.459
882_DVU2072	activation	882_DVU1962	0.459
882_DVU2072	activation	882_DVU2309	0.459
882_DVU2072	activation	882_DVU2078	0.49600005
882_DVU2072	activation	882_DVU2295	0.089999914
882_DVU1975	activation	882_DVU1961	0.464
882_DVU1975	activation	882_DVU1904	0.464
882_DVU1857	activation	882_DVU2074	0.464
882_DVU2309	activation	882_DVU1904	0.464
882_DVU2309	activation	882_DVU1961	0.464
882_DVU1975	activation	882_DVU3228	0.35899997
882_DVU2309	activation	882_DVU2072	0.459
882_DVU2078	activation	882_DVU1884	0.416
882_DVU2072	activation	882_DVU2738	0.459
882_DVU2072	activation	882_DVU3182	0.459
882_DVU2072	activation	882_DVU2933	0.13800001
882_DVU1975	activation	882_DVU2072	0.459
882_DVU2072	activation	882_DVU3035	0.459
882_DVU2072	activation	882_DVU3155	0.19199991
882_DVU2072	activation	882_DVU3228	0.68700004
882_DVU3228	activation	882_DVU0056	0.123000026
882_DVU3228	activation	882_DVU0018	0.35899997
882_DVU3228	activation	882_DVU0013	0.10599995
882_DVU3228	activation	882_DVU0645	0.35899997
882_DVU3228	activation	882_DVU0608	0.35899997
882_DVU3228	activation	882_DVU1594	0.8440001
882_DVU3228	activation	882_DVU0591	0.35899997
882_DVU3228	activation	882_DVU0668	0.35899997
882_DVU3228	activation	882_DVU0652	0.123000026
882_DVU3182	activation	882_DVU1960	0.43799996
882_DVU3228	activation	882_DVU0992	0.123000026
882_DVU3228	activation	882_DVU1400	0.35899997
882_DVU2933	activation	882_DVU0721	0.08800006
882_DVU2933	activation	882_DVU1595	0.08800006
882_DVU3082	activation	882_DVU0449	0.49399996
882_DVU2933	activation	882_DVU0271	0.08800006
882_DVU3082	activation	882_DVU1594	0.459
882_DVU2933	activation	882_DVU0081	0.08800006
882_DVU2933	activation	882_DVU0092	0.08800006
882_DVU3082	activation	882_DVU0592	0.464
882_DVU2933	activation	882_DVU0331	0.08800006
882_DVU3082	activation	882_DVU0652	0.6960001
882_DVU2933	activation	882_DVU0717	0.08800006
882_DVU3182	activation	882_DVU3228	0.35899997
882_DVU2933	activation	882_DVU0355	0.08800006
882_DVU3182	activation	882_DVU2072	0.459
882_DVU2738	activation	882_DVU1960	0.43799996
882_DVU3035	activation	882_DVU1427	0.35899997
882_DVU3155	activation	882_DVU0449	0.19700003
882_DVU3155	activation	882_DVU0592	0.14899993
882_DVU3155	activation	882_DVU1594	0.19199991
882_DVU3155	activation	882_DVU0652	0.54999995
882_DVU3155	activation	882_DVU0992	0.54999995
882_DVU3082	activation	882_DVU0992	0.6960001
882_DVU3082	activation	882_DVU1593	0.35899997
882_DVU3035	activation	882_DVU0449	0.49399996
882_DVU3035	activation	882_DVU1594	0.459
882_DVU2933	activation	882_DVU1862	0.08800006
882_DVU3082	activation	882_DVU1427	0.35899997
882_DVU2933	activation	882_DVU3022	0.08800006
882_DVU2933	activation	882_DVU0940	0.08800006
882_DVU3035	activation	882_DVU1593	0.35899997
882_DVU2933	activation	882_DVU1959	0.08800006
882_DVU3035	activation	882_DVU0652	0.6960001
882_DVU2933	activation	882_DVU1960	0.13800001
882_DVU3082	activation	882_DVU2073	0.35899997
882_DVU3155	activation	882_DVU0056	0.54999995
882_DVU2577	activation	882_DVU3062	0.011999965
882_DVU2577	activation	882_DVU3269	0.011999965
882_DVU2738	activation	882_DVU3228	0.35899997
882_DVU2738	activation	882_DVU1961	0.45299995
882_DVU2577	activation	882_DVU2679	0.011999965
882_DVU2738	activation	882_DVU1904	0.45299995
882_DVU2577	activation	882_DVU3058	0.011999965
882_DVU2577	activation	882_DVU2616	0.011999965
882_DVU2577	activation	882_DVU3335	0.011999965
882_DVU2317	activation	882_DVU2074	0.464
882_DVU2933	activation	882_DVU1904	0.047999978
882_DVU2933	activation	882_DVU1961	0.047999978
882_DVU2933	activation	882_DVU2072	0.14199996
882_DVU2309	activation	882_DVU2074	0.464
882_DVU2072	activation	882_DVU2076	0.17799997
882_DVU1975	activation	882_DVU2074	0.464
882_DVU2295	activation	882_DVU2074	0.095999956
882_DVU2309	activation	882_DVU2076	0.23799992
882_DVU3228	activation	882_DVU0422	0.10599995
882_DVU3228	activation	882_DVU0681	0.23200011
882_DVU3228	activation	882_DVU0408	0.10599995
882_DVU3228	activation	882_DVU0636	0.10599995
882_DVU3228	activation	882_DVU1231	0.10599995
882_DVU3228	activation	882_DVU3022	0.10599995
882_DVU3228	activation	882_DVU1805	0.10599995
882_DVU3228	activation	882_DVU1960	0.48099995
882_DVU3228	activation	882_DVU1563	0.23200011
882_DVU3228	activation	882_DVU2067	0.10599995
883_DvMF_0413	activation	883_DvMF_1736	0.09399998
882_DVU3228	activation	882_DVU0737	0.10599995
882_DVU3228	activation	882_DVU0092	0.10599995
882_DVU3228	activation	882_DVU3045	0.14700007
882_DVU3228	activation	882_DVU1595	0.11100006
882_DVU3228	activation	882_DVU0025	0.10599995
882_DVU3228	activation	882_DVU0271	0.10599995
882_DVU3228	activation	882_DVU0355	0.10599995
883_DvMF_0709	activation	883_DvMF_1736	0.23800004
882_DVU3228	activation	882_DVU1962	0.35899997
882_DVU3228	activation	882_DVU1904	0.35899997
882_DVU3228	activation	882_DVU1961	0.35899997
882_DVU3082	activation	882_DVU1960	0.43799996
882_DVU3228	activation	882_DVU2072	0.68700004
882_DVU3228	activation	882_DVU1975	0.35899997
882_DVU3228	activation	882_DVU2317	0.35899997
882_DVU3228	activation	882_DVU2309	0.35899997
882_DVU3228	activation	882_DVU2078	0.15899992
882_DVU3155	activation	882_DVU1960	0.089999914
882_DVU3228	activation	882_DVU2738	0.35899997
882_DVU3228	activation	882_DVU3182	0.35899997
882_DVU3035	activation	882_DVU1960	0.43799996
882_DVU3228	activation	882_DVU3082	0.35899997
882_DVU3228	activation	882_DVU3035	0.35899997
882_DVU2933	activation	882_DVU2967	0.08800006
882_DVU3082	activation	882_DVU1904	0.464
882_DVU2933	activation	882_DVU2677	0.08800006
882_DVU2933	activation	882_DVU2962	0.08800006
882_DVU2933	activation	882_DVU2432	0.08800006
882_DVU3082	activation	882_DVU2072	0.459
882_DVU2933	activation	882_DVU3058	0.08800006
882_DVU2933	activation	882_DVU3335	0.08800006
882_DVU2933	activation	882_DVU3106	0.08800006
882_DVU3035	activation	882_DVU1904	0.464
882_DVU3035	activation	882_DVU3228	0.35899997
882_DVU3155	activation	882_DVU2072	0.19199991
882_DVU3182	activation	882_DVU2074	0.464
882_DVU3182	activation	882_DVU2076	0.23799992
882_DVU2933	activation	882_DVU3068	0.08800006
882_DVU3082	activation	882_DVU3228	0.35899997
882_DVU3155	activation	882_DVU1961	0.14899993
882_DVU3155	activation	882_DVU1904	0.14899993
882_DVU0608	activation	882_DVU0449	0.49399996
882_DVU0592	activation	882_DVU0018	0.464
882_DVU0608	activation	882_DVU0592	0.464
882_DVU0608	activation	882_DVU1594	0.459
882_DVU0592	activation	882_DVU0645	0.464
882_DVU0592	activation	882_DVU0056	0.35899997
882_DVU0592	activation	882_DVU0183	0.464
882_DVU0608	activation	882_DVU0992	0.6960001
882_DVU0592	activation	882_DVU0591	0.464
882_DVU0592	activation	882_DVU0608	0.464
882_DVU0592	activation	882_DVU1594	0.531
882_DVU1594	activation	882_DVU0645	0.459
882_DVU0592	activation	882_DVU0449	0.54999995
882_DVU0183	activation	882_DVU1960	0.43799996
882_DVU1594	activation	882_DVU1427	0.13800001
882_DVU0592	activation	882_DVU0652	0.35899997
882_DVU0608	activation	882_DVU1427	0.35899997
882_DVU1594	activation	882_DVU0591	0.459
882_DVU0592	activation	882_DVU1593	0.35899997
882_DVU0592	activation	882_DVU1400	0.464
882_DVU0608	activation	882_DVU2073	0.35899997
882_DVU0592	activation	882_DVU0935	0.095999956
882_DVU1594	activation	882_DVU0138	0.13800001
882_DVU1594	activation	882_DVU0608	0.459
882_DVU0592	activation	882_DVU1169	0.14899993
882_DVU0592	activation	882_DVU2073	0.35899997
882_DVU0592	activation	882_DVU1427	0.35899997
882_DVU1594	activation	882_DVU0652	0.901
882_DVU1594	activation	882_DVU0992	0.4849999
882_DVU1594	activation	882_DVU1593	0.51
882_DVU1594	activation	882_DVU1400	0.459
882_DVU0056	activation	882_DVU0092	0.17200005
882_DVU0056	activation	882_DVU0331	0.17200005
882_DVU0138	activation	882_DVU2587	0.116999984
882_DVU0056	activation	882_DVU0025	0.17200005
882_DVU0056	activation	882_DVU0416	0.17200005
882_DVU0056	activation	882_DVU0355	0.17200005
882_DVU0645	activation	882_DVU1960	0.43799996
882_DVU0056	activation	882_DVU0717	0.17200005
882_DVU0018	activation	882_DVU1595	0.23799992
882_DVU0138	activation	882_DVU0449	0.23600006
882_DVU0056	activation	882_DVU0422	0.17200005
882_DVU0591	activation	882_DVU0056	0.6960001
882_DVU0056	activation	882_DVU1563	0.17200005
882_DVU0056	activation	882_DVU0940	0.17200005
882_DVU0056	activation	882_DVU0737	0.17200005
882_DVU0183	activation	882_DVU2072	0.459
882_DVU0056	activation	882_DVU1595	0.17200005
882_DVU0129	activation	882_DVU0408	0.12399995
882_DVU0449	activation	882_DVU0668	0.49399996
882_DVU0129	activation	882_DVU0717	0.12399995
882_DVU0591	activation	882_DVU2073	0.35899997
882_DVU0591	activation	882_DVU1427	0.35899997
882_DVU0129	activation	882_DVU0355	0.12399995
882_DVU0129	activation	882_DVU1190	0.12399995
882_DVU0449	activation	882_DVU1400	0.49399996
882_DVU0129	activation	882_DVU0622	0.12399995
882_DVU0129	activation	882_DVU1414	0.12399995
882_DVU0449	activation	882_DVU1593	0.23600006
882_DVU0129	activation	882_DVU1563	0.12399995
882_DVU0129	activation	882_DVU1862	0.12399995
882_DVU0129	activation	882_DVU2067	0.12399995
882_DVU0449	activation	882_DVU1427	0.23600006
882_DVU0129	activation	882_DVU0940	0.12399995
882_DVU0449	activation	882_DVU2073	0.23600006
882_DVU0129	activation	882_DVU3022	0.12399995
882_DVU0449	activation	882_DVU1431	0.085999966
882_DVU0056	activation	882_DVU1960	0.4849999
882_DVU0138	activation	882_DVU0945	0.23600006
882_DVU0056	activation	882_DVU2067	0.17200005
882_DVU0056	activation	882_DVU3022	0.17200005
882_DVU0183	activation	882_DVU3228	0.35899997
882_DVU0056	activation	882_DVU1805	0.17200005
882_DVU0591	activation	882_DVU0592	0.464
882_DVU0591	activation	882_DVU0449	0.49399996
