"",h,rel,t
54,concept:geometricshape,is_A,concept:visualizableattribute
55,concept:geometricshape,is_A,concept:abstractthing
56,concept:color,is_A,concept:visualizableattribute
57,concept:color,is_A,concept:abstractthing
58,concept:visualizableobject,is_A,concept:visualizablething
59,concept:personalcareitem,is_A,concept:product
60,concept:personalcareitem,is_A,concept:visualizableobject
61,concept:weapon,is_A,concept:item
62,concept:weapon,is_A,concept:visualizableobject
63,concept:musicinstrument,is_A,concept:item
64,concept:musicinstrument,is_A,concept:visualizableobject
65,concept:food,is_A,concept:item
66,concept:food,is_A,concept:visualizableobject
67,concept:beverage,is_A,concept:food
68,concept:wine,is_A,concept:beverage
69,concept:coffeedrink,is_A,concept:beverage
70,concept:candy,is_A,concept:food
71,concept:meat,is_A,concept:food
72,concept:vegetable,is_A,concept:food
73,concept:condiment,is_A,concept:food
74,concept:cheese,is_A,concept:food
75,concept:fruit,is_A,concept:food
76,concept:legume,is_A,concept:fruit
77,concept:nut,is_A,concept:fruit
78,concept:grain,is_A,concept:fruit
79,concept:bakedgood,is_A,concept:food
80,concept:vehicle,is_A,concept:product
81,concept:vehicle,is_A,concept:visualizableobject
82,concept:automobilemodel,is_A,concept:vehicle
83,concept:sportsequipment,is_A,concept:item
84,concept:sportsequipment,is_A,concept:visualizableobject
85,concept:agent,is_A,concept:everypromotedthing
86,concept:humanagent,is_A,concept:agent
87,concept:person,is_A,concept:humanagent
88,concept:journalist,is_A,concept:person
89,concept:ceo,is_A,concept:person
90,concept:politician,is_A,concept:person
91,concept:politicianus,is_A,concept:personus
92,concept:politicianus,is_A,concept:politician
93,concept:male,is_A,concept:person
94,concept:judge,is_A,concept:person
95,concept:athlete,is_A,concept:person
96,concept:scientist,is_A,concept:person
97,concept:musician,is_A,concept:person
98,concept:criminal,is_A,concept:person
99,concept:astronaut,is_A,concept:person
100,concept:comedian,is_A,concept:person
101,concept:writer,is_A,concept:person
102,concept:model,is_A,concept:person
103,concept:mlauthor,is_A,concept:person
104,concept:director,is_A,concept:person
105,concept:female,is_A,concept:person
106,concept:celebrity,is_A,concept:person
107,concept:professor,is_A,concept:person
108,concept:monarch,is_A,concept:person
109,concept:architect,is_A,concept:person
110,concept:personbylocation,is_A,concept:person
111,concept:personantarctica,is_A,concept:personbylocation
112,concept:personasia,is_A,concept:personbylocation
113,concept:personnorthamerica,is_A,concept:personbylocation
114,concept:personcanada,is_A,concept:personnorthamerica
115,concept:personmexico,is_A,concept:personnorthamerica
116,concept:personus,is_A,concept:personnorthamerica
117,concept:personaustralia,is_A,concept:personbylocation
118,concept:personafrica,is_A,concept:personbylocation
119,concept:personeurope,is_A,concept:personbylocation
120,concept:personsouthamerica,is_A,concept:personbylocation
121,concept:actor,is_A,concept:person
122,concept:visualartist,is_A,concept:person
123,concept:coach,is_A,concept:person
124,concept:chef,is_A,concept:person
125,concept:organization,is_A,concept:humanagent
126,concept:school,is_A,concept:organization
127,concept:highschool,is_A,concept:school
128,concept:terroristorganization,is_A,concept:organization
129,concept:nonprofitorganization,is_A,concept:organization
130,concept:sportsleague,is_A,concept:organization
131,concept:professionalorganization,is_A,concept:organization
132,concept:musicartist,is_A,concept:organization
133,concept:tradeunion,is_A,concept:organization
134,concept:geopoliticalorganization,is_A,concept:organization
135,concept:geopoliticalorganization,is_A,concept:geopoliticalentity
136,concept:politicsgroup,is_A,concept:geopoliticalorganization
137,concept:governmentorganization,is_A,concept:politicsgroup
138,concept:nongovorganization,is_A,concept:politicsgroup
139,concept:politicalparty,is_A,concept:nongovorganization
140,concept:county,is_A,concept:geopoliticallocation
141,concept:county,is_A,concept:geopoliticalorganization
142,concept:company,is_A,concept:organization
143,concept:mediacompany,is_A,concept:company
144,concept:publication,is_A,concept:mediacompany
145,concept:magazine,is_A,concept:publication
146,concept:blog,is_A,concept:website
147,concept:blog,is_A,concept:publication
148,concept:politicsblog,is_A,concept:blog
149,concept:newspaper,is_A,concept:publication
150,concept:recordlabel,is_A,concept:mediacompany
151,concept:televisionnetwork,is_A,concept:mediacompany
152,concept:petroleumrefiningcompany,is_A,concept:company
153,concept:bank,is_A,concept:company
154,concept:caf_,is_A,concept:location
155,concept:caf_,is_A,concept:company
156,concept:biotechcompany,is_A,concept:company
157,concept:creditunion,is_A,concept:company
158,concept:automobilemaker,is_A,concept:company
159,concept:winery,is_A,concept:company
160,concept:animal,is_A,concept:agent
161,concept:animal,is_A,concept:species
162,concept:invertebrate,is_A,concept:animal
163,concept:mollusk,is_A,concept:invertebrate
164,concept:arthropod,is_A,concept:invertebrate
165,concept:crustacean,is_A,concept:arthropod
166,concept:arachnid,is_A,concept:arthropod
167,concept:insect,is_A,concept:arthropod
168,concept:vertebrate,is_A,concept:animal
169,concept:bird,is_A,concept:vertebrate
170,concept:mammal,is_A,concept:vertebrate
171,concept:amphibian,is_A,concept:vertebrate
172,concept:fish,is_A,concept:vertebrate
173,concept:reptile,is_A,concept:vertebrate
174,concept:location,is_A,concept:everypromotedthing
175,concept:farm,is_A,concept:location
176,concept:attraction,is_A,concept:location
177,concept:port,is_A,concept:attraction
178,concept:zoo,is_A,concept:attraction
179,concept:transportation,is_A,concept:attraction
180,concept:aquarium,is_A,concept:attraction
181,concept:skiarea,is_A,concept:attraction
182,concept:planet,is_A,concept:location
183,concept:zipcode,is_A,concept:location
184,concept:highway,is_A,concept:location
185,concept:room,is_A,concept:location
186,concept:officebuildingroom,is_A,concept:room
187,concept:website,is_A,concept:location
188,concept:url,is_A,concept:website
189,concept:beach,is_A,concept:location
190,concept:cave,is_A,concept:location
191,concept:geopoliticallocation,is_A,concept:location
192,concept:geopoliticallocation,is_A,concept:geopoliticalentity
193,concept:island,is_A,concept:geopoliticallocation
194,concept:continent,is_A,concept:geopoliticallocation
195,concept:trail,is_A,concept:location
196,concept:mountainrange,is_A,concept:location
197,concept:item,is_A,concept:everypromotedthing
198,concept:refineryproduct,is_A,concept:item
199,concept:officeitem,is_A,concept:item
200,concept:consumerelectronicitem,is_A,concept:item
201,concept:videogamesystem,is_A,concept:consumerelectronicitem
202,concept:product,is_A,concept:item
203,concept:automobileengine,is_A,concept:product
204,concept:drug,is_A,concept:product
205,concept:software,is_A,concept:product
206,concept:videogame,is_A,concept:software
207,concept:videogame,is_A,concept:game
208,concept:mlsoftware,is_A,concept:software
209,concept:fungus,is_A,concept:item
210,concept:fungus,is_A,concept:species
211,concept:buildingfeature,is_A,concept:item
212,concept:plant,is_A,concept:item
213,concept:plant,is_A,concept:species
214,concept:householditem,is_A,concept:item
215,concept:tableitem,is_A,concept:householditem
216,concept:wallitem,is_A,concept:householditem
217,concept:bathroomitem,is_A,concept:householditem
218,concept:furniture,is_A,concept:householditem
219,concept:bedroomitem,is_A,concept:householditem
220,concept:hallwayitem,is_A,concept:householditem
221,concept:flooritem,is_A,concept:householditem
222,concept:kitchenitem,is_A,concept:householditem
223,concept:bodypart,is_A,concept:item
224,concept:braintissue,is_A,concept:bodypart
225,concept:artery,is_A,concept:bodypart
226,concept:muscle,is_A,concept:bodypart
227,concept:bone,is_A,concept:bodypart
228,concept:lymphnode,is_A,concept:bodypart
229,concept:nerve,is_A,concept:bodypart
230,concept:vein,is_A,concept:bodypart
231,concept:mediatype,is_A,concept:item
232,concept:clothing,is_A,concept:item
233,concept:tool,is_A,concept:item
234,concept:agriculturalproduct,is_A,concept:item
235,concept:abstractthing,is_A,concept:everypromotedthing
236,concept:time,is_A,concept:abstractthing
237,concept:victim,is_A,concept:abstractthing
238,concept:scientificterm,is_A,concept:abstractthing
239,concept:sport,is_A,concept:abstractthing
240,concept:medicalprocedure,is_A,concept:abstractthing
241,concept:awardtrophytournament,is_A,concept:abstractthing
242,concept:mldataset,is_A,concept:abstractthing
243,concept:politicsbill,is_A,concept:abstractthing
244,concept:creativework,is_A,concept:abstractthing
245,concept:lyrics,is_A,concept:creativework
246,concept:movie,is_A,concept:creativework
247,concept:visualartform,is_A,concept:creativework
248,concept:book,is_A,concept:creativework
249,concept:televisionshow,is_A,concept:creativework
250,concept:musicsong,is_A,concept:creativework
251,concept:musicalbum,is_A,concept:creativework
252,concept:poem,is_A,concept:creativework
253,concept:mlalgorithm,is_A,concept:abstractthing
254,concept:sportsteamposition,is_A,concept:abstractthing
255,concept:politicaloffice,is_A,concept:abstractthing
256,concept:sociopolitical,is_A,concept:abstractthing
257,concept:ethnicgroup,is_A,concept:abstractthing
258,concept:academicfield,is_A,concept:abstractthing
259,concept:language,is_A,concept:abstractthing
260,concept:perceptionaction,is_A,concept:abstractthing
261,concept:emotion,is_A,concept:abstractthing
262,concept:hobby,is_A,concept:abstractthing
263,concept:mlmetric,is_A,concept:abstractthing
264,concept:perceptionevent,is_A,concept:abstractthing
265,concept:mlarea,is_A,concept:abstractthing
266,concept:recipe,is_A,concept:abstractthing
267,concept:cognitiveactions,is_A,concept:abstractthing
268,concept:game,is_A,concept:abstractthing
269,concept:traditionalgame,is_A,concept:game
270,concept:parlourgame,is_A,concept:traditionalgame
271,concept:cardgame,is_A,concept:traditionalgame
272,concept:boardgame,is_A,concept:traditionalgame
273,concept:sportsgame,is_A,concept:sportsevent
274,concept:sportsgame,is_A,concept:game
275,concept:physicsterm,is_A,concept:abstractthing
276,concept:physicalcharacteristic,is_A,concept:abstractthing
277,concept:visualartmovement,is_A,concept:abstractthing
278,concept:charactertrait,is_A,concept:abstractthing
279,concept:llcoordinate,is_A,concept:abstractthing
280,concept:gamescore,is_A,concept:abstractthing
281,concept:politicsissue,is_A,concept:abstractthing
282,concept:researchproject,is_A,concept:abstractthing
283,concept:species,is_A,concept:abstractthing
284,concept:virus,is_A,concept:species
285,concept:bacteria,is_A,concept:species
286,concept:archaea,is_A,concept:species
287,concept:economicsector,is_A,concept:abstractthing
288,concept:programminglanguage,is_A,concept:abstractthing
289,concept:currency,is_A,concept:abstractthing
290,concept:date,is_A,concept:abstractthing
291,concept:year,is_A,concept:date
292,concept:dateliteral,is_A,concept:date
293,concept:dayofweek,is_A,concept:date
294,concept:month,is_A,concept:date
295,concept:musicgenre,is_A,concept:abstractthing
296,concept:physicalaction,is_A,concept:abstractthing
297,concept:celltype,is_A,concept:abstractthing
298,concept:nonneginteger,is_A,concept:abstractthing
299,concept:chemical,is_A,concept:abstractthing
300,concept:geopoliticalentity,is_A,concept:abstractthing
301,concept:event,is_A,concept:abstractthing
302,concept:productlaunchevent,is_A,concept:event
303,concept:sportsevent,is_A,concept:event
304,concept:olympics,is_A,concept:sportsevent
305,concept:race,is_A,concept:sportsevent
306,concept:grandprix,is_A,concept:sportsevent
307,concept:musicfestival,is_A,concept:event
308,concept:crimeorcharge,is_A,concept:event
309,concept:convention,is_A,concept:event
310,concept:conference,is_A,concept:event
311,concept:mlconference,is_A,concept:conference
312,concept:meetingeventtype,is_A,concept:event
313,concept:weatherphenomenon,is_A,concept:event
314,concept:election,is_A,concept:event
315,concept:bombingevent,is_A,concept:event
316,concept:protestevent,is_A,concept:event
317,concept:roadaccidentevent,is_A,concept:event
318,concept:earthquakeevent,is_A,concept:event
319,concept:filmfestival,is_A,concept:event
320,concept:meetingeventtitle,is_A,concept:event
321,concept:eventoutcome,is_A,concept:event
322,concept:militaryeventtype,is_A,concept:event
323,concept:militaryconflict,is_A,concept:militaryeventtype
324,concept:protein,is_A,concept:abstractthing
325,concept:buildingmaterial,is_A,concept:abstractthing
326,concept:religion,is_A,concept:abstractthing
327,concept:physiologicalcondition,is_A,concept:abstractthing
328,concept:disease,is_A,concept:physiologicalcondition
329,concept:nondiseasecondition,is_A,concept:physiologicalcondition
330,concept:profession,is_A,concept:abstractthing
331,concept:jobposition,is_A,concept:profession
332,concept:earthquakecomentedby,is_A,concept:relatedto
333,concept:bombinghaswitness,is_A,concept:relatedto
334,concept:magazineisleadbyceo,is_A,concept:relatedto
335,concept:colorofobject,is_A,concept:relatedto
336,concept:musicsongisatrackofmusicalbum,is_A,concept:relatedto
337,concept:professionactsatthesameareaofpoliticissue,is_A,concept:relatedto
338,concept:priceofproductlaunch,is_A,concept:relatedto
339,concept:inverseofarterycalledartery,is_A,concept:relatedto
340,concept:inverseofmeatcomesfromanimal,is_A,concept:relatedto
341,concept:athletepublishesinblog,is_A,concept:relatedto
342,concept:politicianholdsoffice,is_A,concept:relatedto
343,concept:politicianusholdsoffice,is_A,concept:politicianholdsoffice
344,concept:buildingfeaturebuiltabovelake,is_A,concept:relatedto
345,concept:animaleatfood,is_A,concept:relatedto
346,concept:insecteatsgrain,is_A,concept:animaleatfood
347,concept:invertebratefeedonfood,is_A,concept:animaleatfood
348,concept:animaleatvegetable,is_A,concept:animaleatfood
349,concept:inverseofarthropodfeedoninsect,is_A,concept:relatedto
350,concept:inverseofbuildingispartofuniversity,is_A,concept:relatedto
351,concept:publicationwritesabout,is_A,concept:relatedto
352,concept:inverseoffooddecreasestheriskofdisease,is_A,concept:relatedto
353,concept:colorassociatedwithvisualizableattribute,is_A,concept:relatedto
354,concept:bombinginjured,is_A,concept:relatedto
355,concept:academicfieldconcernssubject,is_A,concept:relatedto
356,concept:academicfieldhassubfield,is_A,concept:superpartof
357,concept:academicfieldhassubfield,is_A,concept:academicfieldconcernssubject
358,concept:canbethesameas,is_A,concept:relatedto
359,concept:celebritycanbethesameasceo,is_A,concept:canbethesameas
360,concept:politicalofficecanbethesameasjobposition,is_A,concept:canbethesameas
361,concept:comediancanbethesameasmale,is_A,concept:canbethesameas
362,concept:malecanbethesameascomedian,is_A,concept:canbethesameas
363,concept:scientistcanbethesameaswriter,is_A,concept:canbethesameas
364,concept:femalecanbethesameascomedian,is_A,concept:canbethesameas
365,concept:agriculturalproductcanbethesameasvegetable,is_A,concept:canbethesameas
366,concept:writecanbethesameasscientist,is_A,concept:canbethesameas
367,concept:comediancanbethesameasfemale,is_A,concept:canbethesameas
368,concept:jobpositioncanbethesameaspoliticaloffice,is_A,concept:canbethesameas
369,concept:vegetablecanbethesameasagriculturalproduct,is_A,concept:canbethesameas
370,concept:ceocanbethesameascelebrity,is_A,concept:canbethesameas
371,concept:personafricacanbethesameaswriter,is_A,concept:canbethesameas
372,concept:athletecanbethesameasactor,is_A,concept:canbethesameas
373,concept:writercanbethesameaspersonafrica,is_A,concept:canbethesameas
374,concept:actorcanbethesameasathlete,is_A,concept:canbethesameas
375,concept:protesthadweapon,is_A,concept:relatedto
376,concept:locationofprotest,is_A,concept:relatedto
377,concept:sportsgameloserscore,is_A,concept:relatedto
378,concept:physiologicalconditionpossiblytreatedbydrug,is_A,concept:relatedto
379,concept:sportsteampositionathlete,is_A,concept:relatedto
380,concept:roadaccidenthadguilty,is_A,concept:relatedto
381,concept:atlocation,is_A,concept:relatedto
382,concept:inverseofmountainatgeopoliticallocation,is_A,concept:atlocation
383,concept:awardtrophytournamentwasawardedonstadium,is_A,concept:atlocation
384,concept:hasvisualappearance,is_A,concept:atlocation
385,concept:zipcodeinlocation,is_A,concept:atlocation
386,concept:haswikipediaurl,is_A,concept:atlocation
387,concept:religionusesplaceofworship,is_A,concept:atlocation
388,concept:itemusedatlocation,is_A,concept:atlocation
389,concept:riveremptiesintoriver,is_A,concept:atlocation
390,concept:locationlocatedwithinlocation,is_A,concept:subpartof
391,concept:locationlocatedwithinlocation,is_A,concept:atlocation
392,concept:hotelwasbuiltatfarm,is_A,concept:locationlocatedwithinlocation
393,concept:restaurantlocatedinskyscraper,is_A,concept:locationlocatedwithinlocation
394,concept:officebuildingroominbuilding,is_A,concept:locationlocatedwithinlocation
395,concept:farmlocatedinstate,is_A,concept:locationlocatedwithinlocation
396,concept:buildinglocatedincity,is_A,concept:locationlocatedwithinlocation
397,concept:museumincity,is_A,concept:attractionofcity
398,concept:museumincity,is_A,concept:buildinglocatedincity
399,concept:hospitalincity,is_A,concept:buildinglocatedincity
400,concept:hotelincity,is_A,concept:buildinglocatedincity
401,concept:restaurantincity,is_A,concept:buildinglocatedincity
402,concept:airportincity,is_A,concept:buildinglocatedincity
403,concept:shoppingmallincity,is_A,concept:buildinglocatedincity
404,concept:stadiumlocatedincity,is_A,concept:attractionofcity
405,concept:stadiumlocatedincity,is_A,concept:buildinglocatedincity
406,concept:stadiumlocatedincity,is_A,concept:proxyof
407,concept:citylocatedingeopoliticallocation,is_A,concept:locationlocatedwithinlocation
408,concept:citylocatedincountry,is_A,concept:citylocatedingeopoliticallocation
409,concept:citycapitalofcountry,is_A,concept:citylocatedincountry
410,concept:citycapitalofcountry,is_A,concept:proxyfor
411,concept:citylocatedinstate,is_A,concept:citylocatedingeopoliticallocation
412,concept:citycapitalofstate,is_A,concept:citylocatedinstate
413,concept:citycapitalofstate,is_A,concept:proxyfor
414,concept:countrylocatedingeopoliticallocation,is_A,concept:locationlocatedwithinlocation
415,concept:farmlocatedincountry,is_A,concept:locationlocatedwithinlocation
416,concept:streetincity,is_A,concept:locationlocatedwithinlocation
417,concept:mountaininstate,is_A,concept:locationlocatedwithinlocation
418,concept:trainstationincity,is_A,concept:locationlocatedwithinlocation
419,concept:lakeinstate,is_A,concept:locationlocatedwithinlocation
420,concept:statelocatedingeopoliticallocation,is_A,concept:locationlocatedwithinlocation
421,concept:statelocatedincountry,is_A,concept:statelocatedingeopoliticallocation
422,concept:attractionofcity,is_A,concept:locationlocatedwithinlocation
423,concept:attractionbefallincity,is_A,concept:attractionofcity
424,concept:transportationincity,is_A,concept:attractionofcity
425,concept:aquariumincity,is_A,concept:attractionofcity
426,concept:parkincity,is_A,concept:attractionofcity
427,concept:zooincity,is_A,concept:attractionofcity
428,concept:cityliesonriver,is_A,concept:atlocation
429,concept:eventatlocation,is_A,concept:atlocation
430,concept:meetingeventtitleinofficebuildingroom,is_A,concept:eventatlocation
431,concept:meetingeventtitleinbuilding,is_A,concept:eventatlocation
432,concept:itemexistsatlocation,is_A,concept:atlocation
433,concept:vegetableisproducedatcountry,is_A,concept:itemexistsatlocation
434,concept:agriculturalproductgrowinginstateorprovince,is_A,concept:itemexistsatlocation
435,concept:vegetableproductioninstateorprovince,is_A,concept:itemexistsatlocation
436,concept:agriculturalproductcamefromcountry,is_A,concept:itemexistsatlocation
437,concept:itemfoundinroom,is_A,concept:itemexistsatlocation
438,concept:furniturefoundinroom,is_A,concept:itemfoundinroom
439,concept:agriculturalproductproducedbyfarm,is_A,concept:itemexistsatlocation
440,concept:productproducedincountry,is_A,concept:itemexistsatlocation
441,concept:weaponmadeincountry,is_A,concept:itemexistsatlocation
442,concept:agentrelatedtolocation,is_A,concept:atlocation
443,concept:inverseofcountryisthehomeofsportsteam,is_A,concept:agentrelatedtolocation
444,concept:criminalarrestedincountry,is_A,concept:agentrelatedtolocation
445,concept:agenthaswebsite,is_A,concept:agentrelatedtolocation
446,concept:organizationhasofficialwebsite,is_A,concept:agenthaswebsite
447,concept:newpaperhaswebsite,is_A,concept:organizationhasofficialwebsite
448,concept:politicianrepresentslocation,is_A,concept:agentrelatedtolocation
449,concept:personhascitizenship,is_A,concept:agentrelatedtolocation
450,concept:personleadscountry,is_A,concept:agentcontrols
451,concept:personleadscountry,is_A,concept:proxyfor
452,concept:personleadscountry,is_A,concept:agentrelatedtolocation
453,concept:agentactsinlocation,is_A,concept:agentrelatedtolocation
454,concept:coachworksincountry,is_A,concept:agentactsinlocation
455,concept:persondiedinlocation,is_A,concept:agentactsinlocation
456,concept:persondiedincountry,is_A,concept:persondiedinlocation
457,concept:persondiedinstateorprovince,is_A,concept:persondiedinlocation
458,concept:persondiedincity,is_A,concept:persondiedinlocation
459,concept:newspaperincity,is_A,concept:agentactsinlocation
460,concept:personborninlocation,is_A,concept:agentactsinlocation
461,concept:personbornincountry,is_A,concept:personborninlocation
462,concept:personborninstateorprovince,is_A,concept:personborninlocation
463,concept:personbornincity,is_A,concept:personborninlocation
464,concept:writerwasbornincity,is_A,concept:personbornincity
465,concept:organizationactsinlocation,is_A,concept:agentactsinlocation
466,concept:organizationhasbuilding,is_A,concept:organizationactsinlocation
467,concept:organizationheadquarteredincity,is_A,concept:organizationactsinlocation
468,concept:headquarteredin,is_A,concept:hasofficeincity
469,concept:headquarteredin,is_A,concept:organizationheadquarteredincity
470,concept:organizationheadquarteredincountry,is_A,concept:organizationactsinlocation
471,concept:organizationheadquarteredinstateorprovince,is_A,concept:organizationactsinlocation
472,concept:hasofficeincountry,is_A,concept:organizationactsinlocation
473,concept:bankbankincountry,is_A,concept:hasofficeincountry
474,concept:automobilemakerdealersincountry,is_A,concept:hasofficeincountry
475,concept:universityincity,is_A,concept:organizationactsinlocation
476,concept:teamhomestadium,is_A,concept:organizationactsinlocation
477,concept:leaguestadiums,is_A,concept:organizationactsinlocation
478,concept:hasofficeincity,is_A,concept:organizationactsinlocation
479,concept:radiostationincity,is_A,concept:hasofficeincity
480,concept:automobilemakerdealersincity,is_A,concept:hasofficeincity
481,concept:televisionstationincity,is_A,concept:hasofficeincity
482,concept:teamplaysincity,is_A,concept:proxyof
483,concept:teamplaysincity,is_A,concept:organizationactsinlocation
484,concept:athletehomestadium,is_A,concept:agentactsinlocation
485,concept:personhasresidenceinlocation,is_A,concept:agentactsinlocation
486,concept:personhasresidenceincity,is_A,concept:personhasresidenceinlocation
487,concept:personhasresidenceincountry,is_A,concept:personhasresidenceinlocation
488,concept:personhasresidenceinstateorprovince,is_A,concept:personhasresidenceinlocation
489,concept:personmovedtostateorprovince,is_A,concept:personhasresidenceinlocation
490,concept:malemovedtostateorprovince,is_A,concept:personmovedtostateorprovince
491,concept:personhasresidenceingeopoliticallocation,is_A,concept:personhasresidenceinlocation
492,concept:inverseofdiseasecausesphysiologicalcondition,is_A,concept:relatedto
493,concept:clothmadeofplant,is_A,concept:relatedto
494,concept:locationofroadaccident,is_A,concept:relatedto
495,concept:fooddecreasestheriskofdisease,is_A,concept:relatedto
496,concept:officeheldbypolitician,is_A,concept:relatedto
497,concept:officeheldbypoliticianus,is_A,concept:officeheldbypolitician
498,concept:roadaccidentcasualtiesnumber,is_A,concept:relatedto
499,concept:athleteplayssport,is_A,concept:relatedto
500,concept:arthropodthatfeedoninsect,is_A,concept:relatedto
501,concept:bacteriaisthecausativeagentofphysiologicalcondition,is_A,concept:relatedto
502,concept:injuredinbombing,is_A,concept:relatedto
503,concept:coachstudiedatuniversity,is_A,concept:relatedto
504,concept:inverseofemotionassocietedwithdisease,is_A,concept:relatedto
505,concept:dateofevent,is_A,concept:relatedto
506,concept:economicsectorcompany,is_A,concept:relatedto
507,concept:companyproducesvideogamesystem,is_A,concept:relatedto
508,concept:sportsteampositionreceivedathlete,is_A,concept:relatedto
509,concept:scoreofsportsgame,is_A,concept:relatedto
510,concept:concepthasprerequisite,is_A,concept:relatedto
511,concept:inverseofislandhasskiarea,is_A,concept:relatedto
512,concept:persondiedatage,is_A,concept:relatedto
513,concept:personinacademicfield,is_A,concept:relatedto
514,concept:inverseofmusicsongisatrackofmusicalbum,is_A,concept:relatedto
515,concept:inverseofsoftwareprogrammedinprogramminglanguage,is_A,concept:relatedto
516,concept:commentatorofearthquake,is_A,concept:relatedto
517,concept:currencycountry,is_A,concept:relatedto
518,concept:earthquakehadmagnitude,is_A,concept:relatedto
519,concept:numberofinjuredinprotest,is_A,concept:relatedto
520,concept:timeofbombing,is_A,concept:relatedto
521,concept:countrylanguage,is_A,concept:relatedto
522,concept:personineconomicsector,is_A,concept:relatedto
523,concept:religionofperson,is_A,concept:relatedto
524,concept:sportteam,is_A,concept:relatedto
525,concept:plantgrowinginplant,is_A,concept:relatedto
526,concept:inverseofsportfansincountry,is_A,concept:relatedto
527,concept:latitudelongitudeof,is_A,concept:relatedto
528,concept:agentinvolvedwithitem,is_A,concept:relatedto
529,concept:cafeservescoffeedrink,is_A,concept:agentinvolvedwithitem
530,concept:musicianplaysinstrument,is_A,concept:agentinvolvedwithitem
531,concept:producesproduct,is_A,concept:agentcreated
532,concept:producesproduct,is_A,concept:agentinvolvedwithitem
533,concept:automakerproducesmodel,is_A,concept:producesproduct
534,concept:agentworkedondrug,is_A,concept:agentinvolvedwithitem
535,concept:mlauthorofsoftware,is_A,concept:agentcreated
536,concept:mlauthorofsoftware,is_A,concept:agentinvolvedwithitem
537,concept:wineryproduceswine,is_A,concept:agentinvolvedwithitem
538,concept:producesproducttype,is_A,concept:agentcreated
539,concept:producesproducttype,is_A,concept:agentinvolvedwithitem
540,concept:moviethatgeneratestelevisionshow,is_A,concept:relatedto
541,concept:visualartistartform,is_A,concept:relatedto
542,concept:inverseofdateofevent,is_A,concept:relatedto
543,concept:agentinteractswithagent,is_A,concept:relatedto
544,concept:hasfamilymember,is_A,concept:agentinteractswithagent
545,concept:hassibling,is_A,concept:hasfamilymember
546,concept:sisterof,is_A,concept:hassibling
547,concept:brotherof,is_A,concept:hassibling
548,concept:hasbrother,is_A,concept:hassibling
549,concept:hassister,is_A,concept:hassibling
550,concept:parentofperson,is_A,concept:hasfamilymember
551,concept:fatherofperson,is_A,concept:parentofperson
552,concept:biologicalfatherofperson,is_A,concept:agentcreated
553,concept:biologicalfatherofperson,is_A,concept:fatherofperson
554,concept:motherofperson,is_A,concept:parentofperson
555,concept:biologicalmotherofperson,is_A,concept:agentcreated
556,concept:biologicalmotherofperson,is_A,concept:motherofperson
557,concept:personhasparent,is_A,concept:hasfamilymember
558,concept:personhasfather,is_A,concept:personhasparent
559,concept:personhasbiologicalfather,is_A,concept:personhasfather
560,concept:personhasbiologicalfather,is_A,concept:createdbyagent
561,concept:personhasmother,is_A,concept:personhasparent
